usernames,tweets,date_and_time,responders,tweet_replies,Responder_time_responder
paslagipedekate,Sabtu tanggal tiga belas. Udah tau chat gak dibalas. Tetep aja berharap cintanya dibalas,4/13/19 6:56,fhtjirje828,Klo minggu gmna??,4/14/19 0:37
nekadmorello,Bajigur jam sembilan malem gini di MRT ketemu rombongan anak EY pada balik lagi ke office.. abis pada break kayaknya.. edan,4/9/19 7:16,nekadmorello,Iya,4/9/19 8:09
aparatmati,"film Lords of Chaos buat gue entertaining. kebayang anak-anak underground metal umur 20-25an gitu di masa itu mencoba membuat sesuatu yang berbeda dan ekstrim. terlepas dari akurat atau tidaknya dengan kejadian sebenarnya, cukup _„ƒtrve_„_ dengan bukunya.",4/3/19 3:52,ibnumulkaNN,"Lords of Chaos intinya gak sama ama yg di buku ya kang, gue nanya daniel deadsquad jawaban nya gitu. Paling ngga ada bener nya dikit, ternyata Mayhem luar biasa keren banget! dan gapernah nyesel pernah nonton di Hammersonic, http://Dewantn.com/lordsofchaos  sdh subs indo, silahkan",4/3/19 5:02
eunshaf,"Bener-bener benci sih sama orang yg suka ngeludah di sembarang tempat, i mean, bisa ngga sih ngeludah tuh di toilet aja?",4/5/19 7:39,maswik_,Jijik liatnya juga ,4/5/19 7:46
RustamIbrahim,"Kemarahan tidak menyelesaikan masalah - kemarahan hanya memperburuk keadaan. Saya setuju dengan pepatah lama, ""Jangan membuat keputusan penting saat Anda marah."" - Lionel Sosa. Orang pemarah sering tidak rasional",3/31/19 19:00,Noval297519461,"Rakyat bego yg mau pilih Presiden  ""tak tersentuh"" ditambah lg dg watak pemarah..",3/31/19 19:45
Kent_Twiter,"Kenapa hrs tersinggung dan marah,yg blm jadi presiden saja boleh,masa yg presiden beneran nggak boleh ?",4/29/19 5:25,BuangJeleknya,"Selevel pejabat presiden ga pantes lah ngurusin perayaan kompetitor, ato dlm video jkw lagi cuti ya? ",4/29/19 8:10
rustamaji,Bener bener pemilu terburuk yg pernah saya ikuti. Banyak parameter yg bisa kita gunakan utk menyatakan ini pemilu terburuk. Kalau ada yg masih mengglorifikasi pemilu ini bagus harus diperiksa dokter jiwa,4/25/19 7:01,cubby_ghum,factory reset aja sih kak,4/25/19 7:33
aMrazing,"Jadi ya mon maap nih, jangan kaitkan maskulinitas sama kejorokan (dekil - kotor - bau keringet ... mungkin ndak pernah ganti celana dalam dan gak gosok gigi juga? _îê(‘‰_`)_îï)Ndak nyambung dan ndak akan pernah nyambung. Sekian dan salam dari Lexy yang selalu wangi.",4/23/19 6:10,anisayb__,setuju koooh,4/23/19 6:11
aMrazing,Dikatain gendutan sama orang yang gendut. Like bish do you need a mirror?,4/21/19 4:38,aMrazing,Bitch i'm thicc how dare u,4/21/19 8:40
deathrockstar,"zaman ngekos kebiasaan nyelengin duit logam. tiap tanggal tua disortir. diselotip yang seratusan jadi seribu, yang lima ratus jadi lima ribu.  Kemudian pergi ke toko beli indomi, telor & sarden. Pas bayar, duit logam tadi rd digebrak sambil ngomong: Here! Kill Kway Cheng Caine.",4/19/19 7:54,vomitthesouI,uka sampe skrg masih ngumpulin duit logam haha,4/19/19 9:46
fiqimila_13,Aku rela berpaling ke telkomsel demi bisa maen PUBG lagi :-) Maafkan aku indosat ,4/15/19 5:24,bungkusn,Lapor ndan @IndosatCare,4/15/19 6:05
deathrockstar,"zaman ngekos kebiasaan nyelengin duit logam. tiap tanggal tua disortir. diselotip yang seratusan jadi seribu, yang lima ratus jadi lima ribu. Kemudian pergi ke toko beli indomi, telor & sarden. Pas bayar, duit logam tadi rd digebrak sambil ngomong. Here! Kill Kway Cheng Caine.",4/19/19 7:54,vomitthesouI,uka sampe skrg masih ngumpulin duit logam haha,4/19/19 9:46
BHo50,"Pilih #02 Prabowo Sandi karena ingin negara besar ini dipimpin oleh org2 yg benar2 ikhlas utk rakyat, berjiwa pemimpin, tegas, jujur, berwibawa dan tentu saja cerdas dan berwawasan luas....dah gitu aja.",4/13/19 6:48,ZeaAkasya,Iyalah masa dipimpin bonekanya megawati ,4/13/19 10:14
aMrazing,Laper nih. Padahal udah makan kemarin,4/9/19 6:23,rich_bian,"Gausah makan, percuma Besok laper lagi",4/9/19 6:24
KuntoAjiW,"Dari awal dengerin albumnya gw udah suka banget, terutama divisi lirik. Dan pas banget lagi ngerjain album Mantra Mantra waktu itu, menambah khasanah penulisan, walaupun beda style.",4/3/19 2:43,KuntoAjiW,"Buat kalian yang belum sempet dengerin Jason ranti, jangan jadi kaum merugi, dengerin, satu album enak semua.",4/3/19 5:02
bang_somuch,Q kuli bangunan pak. Tapi seneng bgt ngikutin pengajarsn yang bapak berikan. Sangan bermanfaat.,4/5/19 7:08,safii_anang,"@bang_somuch Kuli bangunan yg kekinian, dulinan e twitter.. Hehehe",4/5/19 7:46
ainunchomsun,Memulai bekerja menggunakan MRT Jakarta. Dr Lebak bulus turun di Bunderan HI. Senaaaaang.. ,3/31/19 18:46,ainunchomsun,Bisa pake e-money buat naik MRT Jakarta ,3/31/19 20:55
Aku_Ambivert,"punya sahabat cewe, ada aja yang cemburu. dasar cewe",4/29/19 4:53,alinaasyf,"Eh aku dong, cewe yg g ada cemburu cemburunya. Kadang pgn gitu cemburu tp gbs :((",4/29/19 8:10
tikasinaga,Lalu mengklaim diri sendiri menang dan mengatakan sudah jadi Presiden ditambah kakek Sengkuni yg teriak-teriak mobilisasi PEOPLE POWER plus EGI yg mau jihad: namanya apa itu? Konflik sama siapa? Ada gila-gila kalian rupanya. Sekarang pura-2 menyatakan tidak ada konflik. Dementia?,4/25/19 7:00,ardianarahmawa1,Yang dementia itu dirimu mbak...  Yg ngajak perang total siapa? People power itu ya spt skrg ini...  Ngajakin rakyat utk kawal surat suara di kecamatan... Tanpa dibayar ... Emang dirimu berharap makan daging rendang tahunya dapatnya lengkuas... Bergaya mau boikot pula ,4/25/19 7:33
mbahndi,"Saya mau tanya, emang ada gerakan boikot nasi padang? Kok teman2 di FB posting begitu. Emangnya siapa yg mau boikot? Nasi Padang kan enak knp diboikot?",4/23/19 6:03,auliyakhumar,Pendukung salah satu capres,4/23/19 6:11
awaners,"Ini kan akun pribadi Pak Sutopo bukan akun official BNPB, dia mau ngetwit tidur sama kucing juga sah-sah aja",4/21/19 4:32,kartikahari13,,4/21/19 22:10
FirdsAmri,"Gejalanya ini serem sih. Semacam apa ya, ancaman semu yg terus-menerus dihembuskan elite, diamplifikasi mereka yg sebenernya gak tau dan memunculkan delusi kolektif. Bahkan orang rumah saya pun mulai percaya kalo KPU utak-atik data, ada kecurangan terstruktur, dll.",4/19/19 7:53,FirdsAmri,"Ada juga istilah ""Schizotypi"", sebuah trait yang merujuk pada orang-orang yang begitu mudah percaya pada teori konspirasi.",4/21/19 21:15
naomirmd,Ceweknya abis itu bikin thread ga ya,4/15/19 5:17,ChiBi48_Chelsea,Jadi idol,4/15/19 5:37
FirdsAmri,"Gejalanya ini serem sih. Semacam apa ya, ancaman semu yg terus-menerus dihembuskan elite, diamplifikasi mereka yg sebenernya gak tau dan memunculkan delusi kolektif. Bahkan orang rumah saya pun mulai percaya kalo KPU utak-atik data, ada kecurangan terstruktur, dll.",4/19/19 7:53,FirdsAmri,"Ada juga istilah ""Schizotypi"", sebuah trait yang merujuk pada orang-orang yang begitu mudah percaya pada teori konspirasi.",4/21/19 21:15
jesswjk,Prabowo kayanya gak ngerti industrialisasi itu apa ya ,4/13/19 6:48,gwremon,Yg penting bagi mereka itu nyebarin pesimis,4/13/19 7:30
mbahndi,"Banyak yang pintar_„ù di Twitter ini, kalau posting harus yg berbobot.Selain pintar ada juga yg suka mudah mencela orang, karena mungkin dia merasa pintar",4/9/19 6:03,kueh_bandros,_„ñmerasa_„ù itu memang menimbulkan banyak masalah sih dok ,4/9/19 6:09
KuntoAjiW,"Bangga banget sama Jejeboy, sepanggung sama om Iwan. Seneng liatnya.",4/3/19 2:37,KuntoAjiW,"Dari awal dengerin albumnya gw udah suka banget, terutama divisi lirik. Dan pas banget lagi ngerjain album Mantra Mantra waktu itu, menambah khasanah penulisan, walaupun beda style.",4/3/19 5:02
Aku_Ambivert,Pengen ngerasain jadi seorang pengkhianat gimana ,4/5/19 6:24,arianto_BJ,Nikung temen. Auto bangsat,4/5/19 7:46
RustamIbrahim,"Dua minggu menjelang hari pencoblosan, tampaknya ancer2 untuk ""exit strategy"" mulai digencarkan. Bahwa Pemilu bakal curang, karena aparatur negara berpihak dan mengancam people power. Kapan kita bisa spt bangsa2 maju, langsung mengakui kemenangan orang lain. Siapapun yg menang.",3/31/19 18:13,Sanctuary_Blues,"Sepertinya ada protocol yang mereka jalankan, semua terlihat sangat sequential.",3/31/19 18:28
Kent_Twiter,"Apanya yg mau dilihat lagi? Pemilu nya sdh lewat siapa kalah/menang sdh hampir nyata jelas terlihat,tinggal tunggu pengumuman resmi KPU .",4/29/19 4:20,sunda147,"langsung deh krikk,,, krikkk ,, krikk pas di tanya siapa yg menang ",4/29/19 8:10
Florentinaanna,Itu org lain ada yg ga kena krna 3 polisi fokusnya kpd 2 org ngeyel ini. Klo orgnya kooperatif ya pasti polisi bs maksimal kerjanya utk razia yg lain.. Tuh liat 3 polisi aja gbs ngadepin 2 org ini kan saking batu nya.,4/25/19 6:47,ddfreskya,"ya ngapain di hadapin, kalo polisinya pinter, tau tuh anak salah, yaudah kasih surat tilang aja, org surat suratnya juga udah dikasih sama tuh anak. sudah cukup koperatif, polisinya aja yg gak mau kalah juga. ngeyel :)",4/25/19 7:33
mbahndi,"Saya belajar Ikhlas di Twitter. Ikhlas membiarkan banyak orang yg merasa lebih pintar tapi sebenarnya tidak, untuk berbicara sesuka hati mereka. Mau dibalas juga percuma, ikhlasin aja de.",4/23/19 5:57,raradhyta,Buang2 tenaga dan pikiran y dok ,4/23/19 6:09
diesonne1901,Kl ada kecurangan LAPOR BERWAJIB!!! Bukan KOAR KOAR!!! KOAR KPU CURANG... YANG MILIH KPU SIAPA? ITU DPR KERJANYA APA?? LUPA INI NEGARA BERDASARKAN HUKUM?? BTW... KALAH NIH YEE?? 11% CUYYY ,4/21/19 4:22,alimakassary,Masih ada wasit yg sportif? Tunjukkan ke sy.,4/21/19 22:10
kumistipsi,arrrrggghhh denger lagu glen fredly yg judul nya terserah jadi pengen buat snap hordeng pake lagu itu ,4/19/19 7:52,hyferdian,Lampunya dimatiin sambil play musik,4/21/19 21:15
OneStopUnited,"_„ƒSerangan Fajar_„_ udah pada muncul di injury time ini ya. Sexy Killers lah, Catatan Allan Nairn lah. Mantep lah pilpres kali ini ",4/15/19 4:55,ramotgun,Allan nairn apa lagi om?,4/15/19 5:37
kumistipsi,arrrrggghhh denger lagu glen fredly yg judul nya terserah jadi pengen buat snap hordeng pake lagu itu ,4/19/19 7:52,hyferdian,Lampunya dimatiin sambil play musik,4/21/19 21:15
bentarabumi,Ave Maryam adalah film yang disarankan bagi para ekstrovert yang ingin memahami pergulatan batin pikiran para introvert.,4/13/19 6:41,bentarabumi,Hotel Mumbai mengajarkanku bahwa kadangkala kesialan adalah buntut dari keberuntungan yang jauh lebih besar. Kita adalah Musa dan Semesta sebagai Khidir.,4/20/19 8:24
musniumar,Nusran Wahid bisa kena pasal 55 KUHP ikut serta melakukan korupsi bersama Bowo Sidik,4/9/19 5:43,sndra791,Ngeri jg nih berita...takut hoak ah.... Iiihhhhh€,4/9/19 5:55
mbahndi,Pasien gangguan cemas sering kali sulit dipahami bahkan oleh orang terdekatnya sendiri. Dlm konsultasi awal biasany sy senang jika pasien membawa serta pasangan atau orang terdekatny agar dia jg ikut paham terkait kondisi pasien. Tentunya jika pasien mengijinkan. Edukasi penting,4/3/19 1:13,nusantara_kita1,"Dok buka praktek konsultasi dimana ya, ada yg sodara yg jd depresi dan cemas semenjak vonis kanker,",4/3/19 1:51
dianacelebica,Pak jokowi juga sering jadi Tamu undangan waktu beliau masih jadi walikota. Rata2 dosen saya seangkatan dengan beliau mbak. Semoga mbaknya bisa lebih banyak searching dengan smartphone nya,4/5/19 5:26,ROktaaaa,Maaf mb dia dungu gausah ladenin,4/5/19 7:46
RizkalSaputra,April semoga  doa-doa yang selalu diucapkan dikabulkan tuhan. Amiinn,3/31/19 17:20,PuteriSrimaya,Aamiin,3/31/19 18:28
alvianifr_,Pengen marah tapi aku pakenya flat shoes. Jadi gapunya hak.,4/29/19 4:14,akhmadrinaldy,"Sakitima, adaji bpjsku",4/29/19 8:10
nabilanabilan2,"Cinta memang tak pernah memilih. Tapi kamu yang milih dan sering berdalih, rindu memang membuat hati mengebu ingin bertemu. Tapi cemburu yang membuat hati lebam dan membiru, setia memang siap menunggu. Tapi tidak siap dengan janji palsu.",4/25/19 6:14,SyafiUd26040502,"Putus cinta bukanlah keinginan, tp keterpaksaan ",4/25/19 7:33
nabilanabilan2,Salah-satu tanda-tandanya orang-orang yang rendah hati adalah orang yang mampu menundukkan pandangannya dan mampu menundukkan Ego dirinya. Dan salah-satu tanda-tandanya orang yang tidak rendah hati adalah merendahkan orang lain dan membenarkan pendapat dirinya sendiri.,4/23/19 4:37,yhonalesta,"Kl tnda"" orang patah hati begimana..?",4/23/19 6:09
reza_nayaka,Yg gini2 dulu pernah ngerasain gaji UMR gak ya? Apa langsung 2 digit,4/21/19 3:50,hedwigdhana,Yaduh apa daya ya UMR aja ga nyentuh ,4/21/19 22:10
trimurnip,"kalo lagi puasa gitu boleh peluk ga sih? peluk doang kok ga cium. jadwalnya pacarku dateng ini pas bulan puasa, awal itu. aduh gimana ya",4/19/19 7:11,healahsis,"Sama mba murni, pasangaku balik awal puasa. Takut ndusel terus ntar batal :(((((",4/21/19 21:15
tikabanget,"Siapa yang terlalu bersemangat cerita tentang apa yg bikin excited, tapi baru mengeluarkan setengahnya, terus merasa, ""AKU NGAPAIN SIH INI CERITA CERITA? EMANG MEREKA PENGEN TAU YA?"", dan lalu mashygul sendiri? Aku. ",4/15/19 3:11,didakysh,"Mbak tika tidak sendirian kok :""",4/15/19 3:13
trimurnip,"kalo lagi puasa gitu boleh peluk ga sih? peluk doang kok ga cium. jadwalnya pacarku dateng ini pas bulan puasa, awal itu. aduh gimana ya",4/19/19 7:11,healahsis,"Sama mba murni, pasangaku balik awal puasa. Takut ndusel terus ntar batal :(((((",4/21/19 21:15
putrirahmawti,"Dan gak ketinggalan tugas penonton untuk ngitungin berapa kali dia ngomong ""Bersama Prabowo dan Sandi""",4/13/19 6:33,Widiatis279,"Padahal cukup dia ngomong ke gitu 3 kali, udh dapet Mug sih, dan kalo 5 kali dapetnya Payung. Colek @sandiuno",4/13/19 15:07
_fanani7,Gile bg.. pdhal klo ngeendorse ke dia perinstastory bayarnya 6jt.. klo dia mau promoin gratis brarti emg sekutt  ahahha,4/9/19 5:41,december_kid,"masalahnya sebelum doi tenar kyk skrg mah, bang gofar udh terkenal dari doi blm jadi apa2 ahahaha jadi ngapain minta pp ke dia gt",4/9/19 5:55
heidy_alkaff,"Dear Pria, Bagaimana perasaanmu saat tiba2 ada anak kecil mendatangimu lalu dia berkata bahwa dia anak biologismu dari donor sperma yg pernah kau lakukan??? ",4/2/19 23:22,heidy_alkaff,"Kalo mau tau gimana jadinya Nonton Film ini deh, seru, lucu, fun, haru, aahhh gue suka bgt ma Moon Maeson yg Jadi Tae Bong ini, lucu, pintar dan menggemaskan #MakingFamily",4/2/19 23:24
dianacelebica,"Saya lulusan kehutanan UGM mbak, dan sebelum pak jokowi jadi gubernur, dosen pembimbing beliau sering cerita kok. Saya juga liat skripsi pak jokowi.",4/5/19 5:24,dianacelebica,Pak jokowi juga sering jadi Tamu undangan waktu beliau masih jadi walikota. Rata2 dosen saya seangkatan dengan beliau mbak. Semoga mbaknya bisa lebih banyak searching dengan smartphone nya,4/5/19 7:46
sayangjiun,Ini siapa woy,3/31/19 17:17,maybaeby,Hayo siapa~~~( èƒ ‘_èƒ),3/31/19 17:30
omganang,"sepanjang di ojol pulang gawe cuman dangak mandangin langit. Alhamdulillah masih ngerasain capek, ketawa, menangosan, banyak pikiran, kitati, bahagia krn hal hal kecil. tandanya w masi idup selayaknya manusia :"""") *apasi bct u nang",4/29/19 3:30,ChuckyFlucky,Semangat y Gng ,4/29/19 8:10
putriane9830,"Sebel adalah ketika mamahku blg ""MAKAN DIKAMAR UDAH KAYA PENGANTEN"". Plis ya mah, tipi nya ada dikamar mamah jga punya tipi pan jgn sirik",4/25/19 5:02,Renyahhhh,Mama kamu nggemesin€ Jd pen kenalan ama kamu..,4/25/19 7:33
mbahndi,"Kenyataan ada orang yang memang walaupun sudah baca buku motivasi sebanyak apapun tetap aja hidupnya begitu-begitu aja, tidak bisa terlalu sukses ala kriteria motivator. Intinya kita bisa ikhlas menerima ketika sudah berupaya maksimal. Setiap orang beda. Belajar Ikhlas",4/23/19 4:10,assadalkhatiri,Yup,4/24/19 11:12
motulz,"Pemilik pabrik es ini adalah orang kelahiran Swiss namanya Heinrich Surbeck. Jadi Medan jaman kolonail adalah kota besar, konon dibuat pabrik es di Siantar krn airnya bersih. Nama pabrik nya NV Ijsfabriek Siantar. Ijs : es, fabriek : pabrik",4/21/19 3:17,motulz,Akhirnya NV Ijsfabriek Siantar ini mulai pindah dari tangan ke tangan hingga akhirnya saat ini dipegang oleh keluarga Hutabarat pengusaha asal Medan. Namanya pun berganti jadi PT. Pabrik Es Siantar,4/21/19 22:10
cumaanakkost,Mending nyari duid. Besok nganggur kan yaa???,4/19/19 7:07,tiyaelah,"Besok libur, senin lanjut nyari duid",4/19/19 7:25
shitlicious,Dendam Kesunat.,4/15/19 1:53,riskyrinaldi_,pengen bales sunat tytydnya yang ngenyunat,4/15/19 9:32
cumaanakkost,Mending nyari duid. Besok nganggur kan yaa???,4/19/19 7:07,tiyaelah,"Besok libur, senin lanjut nyari duid",4/19/19 7:25
dikardi,"Gubernur DKI sekarang ini sangat pintar meneruskan penataan yang dilakukan Pak BTP, ini aku terjebak macet padahal naek motor udah setengah jaman. Coba jaman Pak BTP pasti ini udah lancar aja arus lalin di Tanah Abang ini. Kereeeen ",4/13/19 3:05,dikardi,Keren loh bapak gojek ku bisa bercengkrama dengan abang gojek di sebelahku. Woooow hebat ya konsep interaksi di jalanan konsepnya ,4/13/19 15:07
musniumar,Sedikit sekali yg ikut kampanye,4/9/19 5:37,aboeNduyz2019,Solo bukannya tempat asalnya ya ?,4/9/19 5:39
RustamIbrahim,Membaca hasil survei lembaga puluhan itu adalah membaca tren. Trennya: 1) dari waktu ke waktu elektabilitas pasangan Jokowi selalu unggul; 2) kalaupun ada fluktuasi tidak terlalu besar; 3) semakin dekat hari pencoblosan temuan tampalnya semakin stabil.,4/2/19 23:17,sam140776,Ini contoh surveynya,4/3/19 0:08
paslagipedekate,Aku balesin chat orang masih singkat-singkat kalian masih mau temenan gak?,4/5/19 4:09,Amaliyagita1,Gk,4/5/19 7:46
mariaanzelinaa,"Setiap orang punya masa lalu dan setiap orang pasti bisa berubah kok :) jangan memandang masa lalunya terus dong, gak tau apa perjuangan seseorang untuk berubah lebih baik tu gimana,initinya liat yg sekarang,bukan masa lalunya ..",3/31/19 17:04,hartatokhery,Wewwww,3/31/19 17:30
TsamaraDKI,siap presiden!,4/29/19 3:27,JokoElfaris,Kak....bincengin adek donk...ke hatimu kakkkk...,4/29/19 4:32
RustamIbrahim,"Apa sih sederhananya arti firehose of the falsehood (semburan api kebohongan)? Kalau sekarang  yang benar disebut curang, hoax dikatakan fakta. Jadi jangan pernah percaya, sampai dibuktikan secara hukum.",4/25/19 4:33,fasyam7,"Ayo pak baca ini terus diskusikan secara ilmiah ,klau mau bantah pakai alasan yg masuk akal ya biar ilmiah. Ditunggu reaponsenya ya Pak jangan diam.",4/25/19 5:16
Aku_Ambivert,kumpulan lagu buat kamu ni ; elkasih - kau tigakan cintaku. astrid - mendua. dadali - disaat aku tersakiti. sheila on 7 - lapang dada. payung teduh - akad. vagetoz - saat kau pergi. gigi - amnesia. opick - terangkan lah.. terangkan lah. besoknya innalilahi wa innailaihi raji'un,4/23/19 2:44,siskaaatanpa_E,Leh uga playlist nya,4/24/19 11:12
unilubis,Aku gak tahu. Ini teman2 di lapangan lagi ngejar aspek WHY nya.,4/21/19 2:11,ivanfalisha,"Teori konspirasi: Beliau dituntut utk menangkan 01 oleh timses, ditantang lebih baik resign jika gagal. Tantangan diterima oleh beliau. Q: Jika iya, apakah semua kepala daerah dituntut demikian? Entahlah.",4/21/19 19:11
shitlicious,"Pacaran tanpa mau sentuhan tangan sekalipun, mungkin lebih cocok disebut Sahabat Pena.",4/19/19 7:03,cahmbangbung,Yg mau sentuhan monggo. Yg ga mau sentuhan monggo. Mari saling toleransi,4/19/19 7:44
fahiraidris,"12. Demikian thread sy ttg ""Hati Umat dan UAS Sudah Terpaut, Fitnah Akan Semakin Menguatkannya"". Sekian dan Terima Kasih. Wassalammualaikum.wr.wb",4/15/19 1:50,DuniaSekejap,"Uni, no urut 29 ya. Insya Allah saya arahkan keluarga besar utk coblos. #02HariLagi. #02HariLagi",4/15/19 2:03
shitlicious,"Pacaran tanpa mau sentuhan tangan sekalipun, mungkin lebih cocok disebut Sahabat Pena.",4/19/19 7:03,cahmbangbung,Yg mau sentuhan monggo. Yg ga mau sentuhan monggo. Mari saling toleransi,4/19/19 7:44
adityasdp,Wkwkwk yg begini dibilang bau bulu monyet kejemur wkkwskwk susah emang kalo hati udeh dibutakan oleh fanatisme,4/13/19 0:40,CahayaRonny,mungkin ini bening menurut dia,4/13/19 15:07
